scientificName,subtitle,allianceType,fullName,link,MCV (1995),NVCS (2009),Calveg,Holland,Munz,WHR,CDFW CA Code,Formation Class,Formation Subclass,Formation,Division,Macro Group,Group,Life forms,Seed storage,Seed longevity,Mode of dispersal,Germination agents,Mode of sprouting,Survivability after fire/disturbance,Disturbance-stimulated flowering,Recruitment,Fire return interval,Seasonality,Size/extent,Complexity,Intensity,Severity,Type,Regional knowledge
Calamagrostis muiriana,Shorthair reed grass meadows,Herbaceous Alliance,Calamagrostis muiriana Herbaceous Alliance,https://vegetation.cnps.org/alliance/336,Shorthair reed grass series,Calamagrostis breweri herbaceous alliance,Wet grasses and forbs,"Wet montane meadow, Wet subalpine or alpine meadow","Alpine fell-fields, Subalpine forest","Alpine dwarf-shrub, Wet meadow",45.141.00,Cryomorphic Shrub and Herb Vegetation (Polar and High Montane Vegetation),Temperate and Boreal Alpine Vegetation,"Alpine Scrub, Forb Meadow, and Grassland","Western North America Alpine Scrub, Forb Meadow, and Grassland","Vancouverian Alpine Scrub, Forb Meadow, and Grassland",Californian alpine-subalpine turf,Polycarpic perennial; herb,Soil,Short,Wind,None (seeds require after-ripening of several months for germination),Underground structures,Fire-hardy,No,Medium,,,,,,,,
Calamagrostis canadensis,Bluejoint reed grass meadows,Herbaceous Alliance,Calamagrostis canadensis Herbaceous Alliance,https://vegetation.cnps.org/alliance/335,"Montane meadow habitat, Subalpine meadow habitat",Calamagrostis canadensis seasonally flooded herbaceous alliance,Wet grasses and forbs,"Wet montane meadow, Wet subalpine or alpine meadow",Lodgepole forest,"Perennial grassland, Wet meadow",41.224.00,Mesomorphic Shrub and Herb Vegetation (Shrubland and Grassland),Temperate and Boreal Shrubland and Grassland,"Temperate Grassland, Meadow, and Shrubland",Vancouverian and Rocky Mountain Grassland and Shrubland,Western Cordilleran Montane Shrubland and Grassland,Western Cordilleran montane moist graminoid meadow,Polycarpic perennial; herb; rhizomatous,Soil,Medium,Wind,None (seeds require after-ripening of several months for germination),Underground structures,Fire-hardy,Yes,Medium,,,,,,,,
"Cakile (edentula, maritima)",Sea rocket sands,Provisional Herbaceous Semi-Natural Alliance,"Cakile (edentula, maritima) Provisional Herbaceous Semi-Natural Alliance",https://vegetation.cnps.org/alliance/334,"Native dune grass series, Sand verbena-beach bursage series",Cakile edentula sparsely vegetated alliance,"Dunes, Beach sand","Northern foredunes, Southern foredunes",Coastal strand,"Barren, Coastal scrub",21.125.00,,,,,,,,,,,,,,,,,,,,,,,
Bromus tectorum - Taeniatherum caput-medusae,Cheatgrass - medusahead grassland,Herbaceous Semi-Natural Alliance,Bromus tectorum - Taeniatherum caput-medusae Herbaceous Semi-Natural Alliance,https://vegetation.cnps.org/alliance/333,Cheatgrass series,Bromus tectorum semi-natural herbaceous alliance,Non-native/ornamental grass,"Non-native grassland, Great Basin grassland",Sagebrush scrub,Annual grassland,42.020.00,Mesomorphic Shrub and Herb Vegetation (Shrubland and Grassland),Temperate and Boreal Shrubland and Grassland,"Temperate Grassland, Meadow, and Shrubland",Vancouverian and Rocky Mountain Grassland and Shrubland,Western North American Temperate Grassland and Meadow,Vancouverian and Rocky Mountain naturalized annual grassland,Annual; herb,Transient; Soil stored,Medium,Gravity; Wind; Water; Animal,Stratification - Winter,None,Fire-hardy; High Flammability,No,High,,,,,,,,
"Bromus rubens - Schismus (arabicus, barbatus)",Red brome or Mediterranean grass grasslands,Herbaceous Semi-Natural Alliance,"Bromus rubens - Schismus (arabicus, barbatus) Herbaceous Semi-Natural Alliance",https://vegetation.cnps.org/alliance/332,California annual grassland series,"Bromus (diandrus, hordeaceus, madritensis) herbaceous alliance","Annual grasses and forbs, Non-native/ornamental grass","Valley and foothill grassland, Non-native grassland",Valley grassland,Annual grassland,42.024.00,Mesomorphic Shrub and Herb Vegetation (Shrubland and Grassland),Mediterranean Scrub and Grassland,Mediterranean Grassland and Forb Meadow,California Grassland and  Meadow,California Annual and Perennial Grassland,Mediterranean California naturalized annual and perennial grassland,Annual; herb,Transient; Soil-stored,Short,Gravity,Stratification - Winter,None,Fire-sensitive; High flammability,No,High,,,,,,,,
Juglans californica,California walnut groves,Forest & Woodland Alliance,Juglans californica Forest & Woodland Alliance,https://vegetation.cnps.org/alliance/33,California walnut series,Juglans californica woodland alliance,Black walnut,"California walnut woodland, Walnut forest",Southern oak woodland,Coastal oak woodland,72.100.00,Mesomorphic Tree Vegetation (Forest and Woodland),Temperate Forest,Warm Temperate Forest,Madrean Forest and Woodland,California Forest and Woodland,Californian broadleaf forest and woodland,Tree; winter deciduous,Transient,Short,Animal; gravity; water,None,Buds on large branches or trunks; underground structures,Fire-hardy; high sprouter,No,Low,Medium (25-100+ years),Summer-early fall,Medium; up to or beyond stand size,Low to moderate,Low to moderate,Low to high,Surface to passive crown,Southern California
Bolboschoenus maritimus,Salt marsh bulrush marshes,Herbaceous Alliance,Bolboschoenus maritimus Herbaceous Alliance,https://vegetation.cnps.org/alliance/329,"Bulrush series, Bulrush-cattail series",Schoenoplectus maritimus semipermanently flooded herbaceous alliance,Tule-Cattail,Coastal brackish marsh,Coastal salt marsh,Saline emergent wetland,52.112.00,Mesomorphic Shrub and Herb Vegetation (Shrubland and Grassland),Temperate and Boreal Shrubland and Grassland,Temperate and Boreal Salt Marsh,Temperate and Boreal Pacific Coastal Salt Marsh,North American Pacific Coastal Salt Marsh,Temperate Pacific tidal salt and brackish meadow,Polycarpic perennial; herb; rhizomatous,Soil,Long,Animal; gravity; water/hydrological,Inundation; stratification—winter,Underground structures (culms),Fire-sensitive; no/low sprouter to high sprouter,No,High,,,,,,,,
Bistorta bistortoides - Mimulus primuloides,Western bistort - primrose monkey flower meadows,Herbaceous Alliance,Bistorta bistortoides - Mimulus primuloides Herbaceous Alliance,https://vegetation.cnps.org/alliance/328,Montane and subalpine meadow habitat,Mimulus primuloides herbaceous alliance,Wet grasses and forbs,"Wet montane meadow, Wet subalpine or alpine meadow, Fen",Red fir forest,Wet meadow,45.413.00,Mesomorphic Shrub and Herb Vegetation (Shrubland and Grassland),Temperate and Boreal Shrubland and Grassland,Temperate and Boreal Freshwater Marsh,Western North American Freshwater Marsh,Western North America Wet Meadow and Low Shrub Carr,Western Cordilleran montane-boreal summer-saturated meadow,Polycarpic perennial; herb; stoloniferous,Transient,Short,Gravity; water/hydrological,None,Underground structures,Fire-sensitive,No,Low,,,,,,,,
"Azolla (filiculoides, microphylla)",Mosquito fern mats,Herbaceous Alliance,"Azolla (filiculoides, microphylla) Herbaceous Alliance",https://vegetation.cnps.org/alliance/327,Mosquito fern series,"Azolla (filiculoides, mexicana) permanently flooded herbaceous alliance","Tule-Cattail, Water","Coastal and valley freshwater marsh, Transmontane freshwater marsh, Montane freshwater marsh",Freshwater marsh,Fresh emergent wetland,52.106.00,Hydromorphic Vegetation (Aquatic Vegetation),Freshwater Aquatic Vegetation,Freshwater Aquatic Vegetation,North American Freshwater Aquatic Vegetation,Western North American Freshwater Aquatic Vegetation,Temperate freshwater floating mat,,N/A,N/A,Water/Hydrological/animal,Inundation,,,N/A,,,,,,,,,
Atriplex prostrata - Cotula coronopifolia,Fields of fat hen and brass buttons,Herbaceous Semi-Natural Alliance,Atriplex prostrata - Cotula coronopifolia Herbaceous Semi-Natural Alliance,https://vegetation.cnps.org/alliance/325,Not treated,Not treated,"Saltbush, Non-native/invasive forb","Coastal brackish marsh, Alkali marsh",Coastal salt marsh,Saline emergent wetland,52.211.00,Mesomorphic Shrub and Herb Vegetation (Shrubland and Grassland),Temperate and Boreal Shrubland and Grassland,Temperate and Boreal Salt Marsh,Temperate and Boreal Pacific Coastal Salt Marsh,North American Pacific Coastal Salt Marsh,Western North American disturbed alkaline marsh and meadow,,,,,,,,,,,,,,,,,
Arthrocnemum subterminale,Parish’s glasswort patches,Herbaceous Alliance,Arthrocnemum subterminale Herbaceous Alliance,https://vegetation.cnps.org/alliance/323,Pickleweed series,Salicornia virginica tidal herbaceous alliance,Pickleweed-Cordgrass,"Northern coastal salt marsh, Southern coastal salt marsh",Coastal salt marsh,Saline emergent wetland,52.212.00,Mesomorphic Shrub and Herb Vegetation (Shrubland and Grassland),Temperate and Boreal Shrubland and Grassland,Temperate and Boreal Salt Marsh,Western North American Interior Alkali-Saline Wetland,Warm Semi-Desert/Mediterranean Alkali-Saline Wetland,Southwestern North American salt basin and high marsh group,Polycarpic perennial; herb; stem succulent,Transient,Short,Animal; water/hydrological,None,Underground structures,Fire-hardy; no/low sprouter to high sprouter,No,High,,,,,,,,
Artemisia dracunculus,Wild tarragon patches,Herbaceous Alliance,Artemisia dracunculus Herbaceous Alliance,https://vegetation.cnps.org/alliance/322,Mulefat series,Not treated,"Wet grasses and forbs, Riparian mixed shrub, Not treated",Central Coast riparian scrub,Not treated,Valley foothill riparian,35.160.00,Mesomorphic Shrub and Herb Vegetation (Shrubland and Grassland),Mediterranean Scrub and Grassland,Mediterranean Grassland and Forb Meadow,California Grassland and  Meadow,California Annual and Perennial Grassland,California annual herb/grass group,Polycarpic perennial; herb; rhizomatous,Soil,Transient,Water/hydrological; wind,None,Underground structures,Fire-sensitive; low sprouter,No,High,,,,,,,,
Fraxinus latifolia,Oregon ash groves,Forest & Woodland Alliance,Fraxinus latifolia Forest & Woodland Alliance,https://vegetation.cnps.org/alliance/32,White alder series,Fraxinus latifolia temporarily flooded forest alliance,"Riparian mixed hardwood, White alder","North Coast riparian forests, Great Valley mixed riparian forest, White alder riparian forest, Southern sycamore-alder riparian woodland",Foothill woodland,Montane riparian,61.960.00,Mesomorphic Tree Vegetation (Forest and Woodland),Temperate Forest,Temperate Flooded and Swamp Forest,Western North America Flooded and Swamp Forest,Western Cordilleran montane-boreal riparian scrub,Vancouverian riparian deciduous forest,Tree; winter deciduous,Soil,Long,Water/hydrological; wind,Inundation (moisture); stratification—winter,Underground structures,Fire-hardy; high sprouter (especially after flooding),No?,Medium to high,,,,,,,,
Anemopsis californica - Helianthus nuttallii - Solidago spectabilis,Yerba mansa - Nuttall's sunflower - Nevada goldenrod alkaline wet meadows,Herbaceous Alliance,Anemopsis californica - Helianthus nuttallii - Solidago spectabilis Herbaceous Alliance,https://vegetation.cnps.org/alliance/319,Saltgrass series,Not treated,"Alkaline flats, Alkaline mixed grasses and forbs, Wet grasses and forbs","Alkali meadow, Freshwater seep, Cismontane alkali marsh, Transmontane alkali marsh","Alkali sink, Freshwater marsh","Fresh emergent wetland, Saline emergent wetland, Wet meadow",52.214.00,Mesomorphic Shrub and Herb Vegetation (Shrubland and Grassland),Temperate and Boreal Shrubland and Grassland,Temperate and Boreal Salt Marsh,Western North American Interior Alkali-Saline Wetland,Warm Semi-Desert/Mediterranean Alkali-Saline Wetland,Southwestern North American alkali marsh/seep vegetation,Polycarpic perennial; herb; rhizomatous,Soil,Long,Animal; gravity; water/hydrological,Inundation; stratification—winter,Underground structures,Fire-hardy; high sprouter,No,High,,,,,,,,
"Amsinckia (menziesii, tessellata) - Phacelia spp.",Fiddleneck - Phacelia Fields,Herbaceous Alliance,"Amsinckia (menziesii, tessellata) - Phacelia spp. Herbaceous Alliance",https://vegetation.cnps.org/alliance/318,California annual grassland series,Not treated,"Annual grasses and forbs, Perennial grasses and forbs","Non-native grassland, Wildflower field",Valley grassland,Annual grassland,42.110.00,Mesomorphic Shrub and Herb Vegetation (Shrubland and Grassland),Mediterranean Scrub and Grassland,Mediterranean Grassland and Forb Meadow,California Grassland and  Meadow,California Annual and Perennial Grassland,California annual herb/grass group,Annual; herb,Soil,,Animal; gravity,None,None,Fire-sensitive; high flammability,No,Low to high,Short to medium,Early fall,Up to stand size,Low,Moderate to high,Moderate to high,Surface fire,Central Coast
Ammophila arenaria,European beach grass swards,Herbaceous Semi-Natural Alliance,Ammophila arenaria Herbaceous Semi-Natural Alliance,https://vegetation.cnps.org/alliance/317,European beach grass series,Ammophila arenaria semi‑natural herbaceous alliance,"Dunes, Coastal lupine","Northern foredunes, Northern foredune grassland",Coastal strand,Perennial grassland,42.010.00,Mesomorphic Shrub and Herb Vegetation (Shrubland and Grassland),Temperate and Boreal Shrubland and Grassland,Temperate and Boreal Scrub and Herb Coastal Vegetation,Pacific Coast Scrub and Herb Littoral Vegetation,Vancouverian Coastal Dune and Bluff,California-Vancouverian semi-natural littoral scrub and herb vegetation,,,,,,,,,,,,,,,,,
Ambrosia psilostachya,Western ragweed meadows,Provisional Herbaceous Alliance,Ambrosia psilostachya Provisional Herbaceous Alliance,https://vegetation.cnps.org/alliance/316,California annual grassland series,Not treated,"Wet grasses and forbs, Perennial grasses and forbs","Valley and foothill grassland, Native grassland, Wet montane meadow, Dry montane meadow",Valley grassland,"Annual grassland, Wet meadow",33.065.00,,,,,,,,,,,,,,,,,,,,,,,
Alopecurus geniculatus,Water foxtail meadows,Provisional Herbaceous Alliance,Alopecurus geniculatus Provisional Herbaceous Alliance,https://vegetation.cnps.org/alliance/315,Montane meadow habitat,Not treated,Wet grasses and forbs,"Wet montane meadow, Freshwater seep","Freshwater marsh, Valley grassland","Perennial grassland, Wet meadow",42.006.00,,,,,,,,,,,,,,,,,,,,,,,
Agropyron cristatum - Bromus inermis - Poa pratensis,Crested wheatgrass rangelands,Herbaceous Semi-Natural Alliance,Agropyron cristatum - Bromus inermis - Poa pratensis Herbaceous Semi-Natural Alliance,https://vegetation.cnps.org/alliance/313,Crested wheatgrass series,Agropyron cristatum semi-natural herbaceous alliance,"Perennial grasses and forbs, Non-native/ornamental grass",Great Basin grassland,Sagebrush scrub,Perennial grassland,42.030.00,Mesomorphic Shrub and Herb Vegetation (Shrubland and Grassland),Temperate and Boreal Shrubland and Grassland,"Temperate Grassland, Meadow, and Shrubland",Vancouverian and Rocky Mountain Grassland and Shrubland,Western North American Temperate Grassland and Meadow,Vancouverian and Rocky Mountain naturalized perennial grassland,Perennial; herb,Soil stored,Long,Wind; Animal,Stratification - Winter,Buds on small branches,Fire-hardy,None,High,,,,,,,,
Aegilops triuncialis,Barbed goatgrass patches,Provisional Herbaceous Semi-Natural Alliance,Aegilops triuncialis Provisional Herbaceous Semi-Natural Alliance,https://vegetation.cnps.org/alliance/312,California annual grassland series,Not treated,"Annual grasses and forbs, Non-native/ornamental grass",Non-native grassland,Valley grassland,Annual grassland,42.003.00,,,,,,,,,,,,,,,,,,,,,,,
Achnatherum speciosum,Desert needlegrass grassland,Herbaceous Alliance,Achnatherum speciosum Herbaceous Alliance,https://vegetation.cnps.org/alliance/311,Desert needlegrass series,Achnatherum speciosum herbaceous alliance,Perennial grasses and forbs,"Mojave mixed steppe, Native grassland",Creosote bush scrub,"Desert scrub, Perennial grassland",41.090.00,Xeromorphic Scrub and Herb Vegetation (Semi-Desert),Cool Semi-Desert Scrub and Grassland,Cool Semi-Desert Scrub and Grassland,Western North American Cool Semi-Desert Scrub and Grassland,Inter-Mountain Dry Shrubland and Grassland,Southern Great Basin semi-desert grassland group,Polycarpic perennial; herb,Soil,Medium,Animal; wind,None,Underground structures,Fire-hardy; high sprouter,No,Low,Medium,Late summer-fall,Small to large; up to stand size,Low to moderate,Low to moderate,High,Surface,Mojave Desert
Achnatherum hymenoides,Indian rice grass grassland,Herbaceous Alliance,Achnatherum hymenoides Herbaceous Alliance,https://vegetation.cnps.org/alliance/310,Indian ricegrass series,"Achnatherum hymenoides herbaceous alliance, Achnatherum hymenoides shrub herbaceous alliance",Perennial grasses and forbs,Mojave mixed steppe,Sagebrush scrub,Perennial grassland,41.120.00,Xeromorphic Scrub and Herb Vegetation (Semi-Desert),Cool Semi-Desert Scrub and Grassland,Cool Semi-Desert Scrub and Grassland,Western North American Cool Semi-Desert Scrub and Grassland,Inter-Mountain Dry Shrubland and Grassland,Northern Great Basin semi-desert grassland group,Polycarpic perennial; herb,Soil (caches made by rodents),Short,Animal; water/hydrology; wind,Scarification and seed dehulling by rodents; soil disturbance,Underground structures,Fire-hardy; high sprouter,No,Low to high,Medium (7-70 years),Summer-early fall,Medium to large,Low to high,Moderate,Moderate to high,Surface,Mojave Desert
Eucalyptus spp. - Ailanthus altissima - Robinia pseudoacacia,Eucalyptus - tree of heaven - black locust groves,Woodland Semi-Natural Alliance,Eucalyptus spp. - Ailanthus altissima - Robinia pseudoacacia Woodland Semi-Natural Alliance,https://vegetation.cnps.org/alliance/31,Eucalyptus series,Eucalyptus spp. semi-natural forest alliance,"Non-native/ornamental hardwood, Eucalyptus",Southern riparian forest,Woodland-savanna,Eucalyptus,79.100.00,Mesomorphic Tree Vegetation (Forest and Woodland),Temperate Forest,Cool Temperate Forest,North American Introduced Evergreen Broadleaf and Conifer Forest,Introduced North American Mediterranean woodland and forest,Introduced North American Mediterranean woodland and forest,Tree; evergreen,,,,,,,,,,,,,,,,
Abronia latifolia - Ambrosia chamissonis,Dune mat,Herbaceous Alliance,Abronia latifolia - Ambrosia chamissonis Herbaceous Alliance,https://vegetation.cnps.org/alliance/309,Sand verbena-beach bursage series,Ambrosia chamissonis herbaceous alliance,"Dunes, Beach sand","Active coastal dunes, Northern foredunes, Southern foredunes",Coastal strand,Coastal scrub,21.100.00,Mesomorphic Shrub and Herb Vegetation (Shrubland and Grassland),Temperate and Boreal Shrubland and Grassland,Temperate and Boreal Scrub and Herb Coastal Vegetation,Pacific Coast Scrub and Herb Littoral Vegetation,Vancouverian Coastal Dune and Bluff,Vancouverian/Pacific dune mat,Polycarpic perennial; herb,Soil,Long,Animal; wind,None,Underground structures,Fire-sensitive; thin epidermis; canopy architecture susceptible,No,Low,,,,,,,,
Ziziphus obtusifolia,Graythorn patches,Shrubland Special Stands,Ziziphus obtusifolia Shrubland Special Stands,https://vegetation.cnps.org/alliance/308,Not treated,Not treated,Not treated,Desert dry wash woodland,Creosote bush scrub,Desert wash,33.225.00,Xeromorphic Scrub and Herb Vegetation (Semi-Desert),Warm Semi-Desert Scrub and Grassland,Warm Semi-Desert Scrub and Grassland,Sonoran and Chihuahuan Semi-Desert Scrub and Grassland,Mojavean-Sonoran Desert Scrub,Arizonan upland Sonoran desert scrub,Perennial; shrub; tree; deciduous,,Short,Animal,None,Underground structures,Fire-hardy; low sprouter,No,High,,,,,,,,
Yucca schidigera,Mojave yucca scrub,Shrubland Alliance,Yucca schidigera Shrubland Alliance,https://vegetation.cnps.org/alliance/307,Mojave yucca series,Yucca schidigera shrubland alliance,Creosote bush,"Mojave mixed steppe, Mojave yucca scrub and steppe",Creosote bush scrub,Desert succulent shrub,33.070.00,Xeromorphic Scrub and Herb Vegetation (Semi-Desert),Warm Semi-Desert Scrub and Grassland,Warm Semi-Desert Scrub and Grassland,Sonoran and Chihuahuan Semi-Desert Scrub and Grassland,Mojavean-Sonoran Desert Scrub,Mojavean upper desert scrub,Shrub; evergreen,Soil,Short,Animal; gravity,None,Underground structures,Fire-hardy; high sprouter; canopy architecture resistant,No,Low,Long,Spring-summer-fall,Medium to large,Multiple,Moderate,Moderate to high,Passive-active crown fire,Transmontane
Eriogonum fasciculatum - Viguiera parishii,California buckwheat - Parish’s goldeneye scrub,Shrubland Alliance,Eriogonum fasciculatum - Viguiera parishii Shrubland Alliance,https://vegetation.cnps.org/alliance/305,Not treated,Viguiera parishii shrubland alliance,"Desert buckwheat, Desert mixed wash scrub","Sonoran mixed woody scrub, Mojave mixed woody scrub, Upper Sonoran subshrub scrub",Creosote bush scrub,Desert scrub,33.032.00,Xeromorphic Scrub and Herb Vegetation (Semi-Desert),Warm Semi-Desert Scrub and Grassland,Warm Semi-Desert Scrub and Grassland,Sonoran and Chihuahuan Semi-Desert Scrub and Grassland,Mojavean-Sonoran Desert Scrub,Mojavean upper desert scrub,"Shrub; evergreen, (semi-) drought deciduous",Soil,Medium,Animal; water/hydrological; wind,None,Underground structures (weak),Fire-sensitive; thin epidermis; no/low sprouter; canopy architecture susceptible,No,Low to medium,,,,,,,,
Venegasia carpesioides,Canyon sunflower scrub,Shrubland Alliance,Venegasia carpesioides Shrubland Alliance,https://vegetation.cnps.org/alliance/304,Not treated,Not treated,Not treated,Coastal sage-chaparral scrub,Chaparral,Mixed chaparral,39.030.00,Mesomorphic Shrub and Herb Vegetation (Shrubland and Grassland),Temperate and Boreal Shrubland and Grassland,Temperate and Boreal Scrub and Herb Coastal Vegetation,Pacific Coast Scrub and Herb Littoral Vegetation,Vancouverian Coastal Dune and Bluff,California Coastal evergreen bluff and dune scrub,Shrub; evergreen,Soil,Long,Wind,Heat (fire),,,No,Medium to high,,,,,,,,
Vaccinium uliginosum,Bog blueberry wet meadows,Shrubland Alliance,Vaccinium uliginosum Shrubland Alliance,https://vegetation.cnps.org/alliance/303,Montane wetland shrub habitat,Vaccinium uliginosum saturated dwarf-shrubland alliance,"Wet grasses and forbs, Riparian mixed shrub","Wet montane meadow, Wet subalpine or alpine meadow, Fen","Freshwater marsh, Lodgepole forest, Red fir forest","Alpine dwarf-shrub, Wet meadow",45.410.00,Mesomorphic Shrub and Herb Vegetation (Shrubland and Grassland),Temperate and Boreal Shrubland and Grassland,Temperate and Boreal Bog and Fen,North American Scrub and Herb Peatland,Western North American Montane/Boreal Peatland,MG063. Western North American Montane/Boreal Peatland,Shrub; winter deciduous; rhizomatous,Transient,Short,Animal; water/hydrological,Stratification—winter,Underground structures,Fire-hardy; high sprouter,No,Low,,,,,,,,
Vaccinium cespitosum,Dwarf bilberry meadows and mats,Dwarf Shrubland Alliance,Vaccinium cespitosum Dwarf Shrubland Alliance,https://vegetation.cnps.org/alliance/302,"Mountain heather-bilberry series, Subalpine upland shrub habitat",Vaccinium caespitosum dwarf-shrubland alliance,Alpine mixed scrub,"Wet montane meadow, Wet subalpine or alpine meadow","Lodgepole forest, Subalpine forest","Alpine dwarf-shrub, Wet meadow",45.405.00,Cryomorphic Shrub and Herb Vegetation (Polar and High Montane Vegetation),Temperate and Boreal Alpine Vegetation,"Alpine Scrub, Forb Meadow, and Grassland","Western North America Alpine Scrub, Forb Meadow, and Grassland","Vancouverian Alpine Scrub, Forb Meadow, and Grassland",Californian alpine-subalpine turf,Shrub; winter deciduous,Transient,Short,Animal,None,Buds on small branches; underground structures,Fire-hardy; low sprouter,No,Low to medium,,,,,,,,
Toxicodendron diversilobum,Poison oak scrub,Shrubland Alliance,Toxicodendron diversilobum Shrubland Alliance,https://vegetation.cnps.org/alliance/301,Not treated,Not treated,Not treated,Coastal sage-chaparral scrub,"Chaparral, Coastal sage scrub","Coastal scrub, Mixed chaparral",37.940.00,Mesomorphic Shrub and Herb Vegetation (Shrubland and Grassland),Temperate and Boreal Shrubland and Grassland,"Temperate Grassland, Meadow, and Shrubland",Vancouverian and Rocky Mountain Grassland and Shrubland,Vancouverian Lowland Grassland and Shrubland,Vancouverian coastal deciduous scrub,Shrub (to vine); deciduous,Soil,Short,Animal; gravity,None,Underground structures (rhizomes and root crown),Fire-hardy; high sprouter,No,High,Short to medium,Summer-early fall,Small to large,Moderate to high,Low to high,Moderate to high,Surface-passive crown fire,Klamath Mountains (lower mountain)
Abies concolor,White fir forest and woodland,Forest & Woodland Alliance,Abies concolor Forest & Woodland Alliance,https://vegetation.cnps.org/alliance/3,White fir series,"Abies concolor forest alliance, Abies concolor giant forest alliance, Abies concolor woodland alliance",White fir,"Sierran white fir forest, Southern California white fir forest",Coniferous forest,"Eastside pine, Sierran mixed conifer, White fir",88.500.00,Mesomorphic Tree Vegetation (Forest and Woodland),Temperate Forest,Cool Temperate Forest,Western North America Cool Temperate Forest,Californian-Vancouverian Montane and Foothill Forest,Californian montane conifer forest,Tree; evergreen,Transient,Short,Animal; wind,Stratification—winter,None,Fire-hardy; thick epidermis (susceptible to rot when scarred); canopy architecture resistant,No,High,Short,Summer-fall,Large,Low to high,Low to moderate,Low to moderate,Surface,"Southern Cascades, Sierra Nevada (lower montane)"
Tetracoccus hallii,Hall’s shrubby-spurge patches,Provisional Shrubland Alliance,Tetracoccus hallii Provisional Shrubland Alliance,https://vegetation.cnps.org/alliance/299,Not treated,Not treated,Not treated,"Sonoran creosote bush scrub, Mojave desert wash scrub",Creosote bush scrub,Desert wash,33.350.00,,,,,,,,,,,,,,,,,,,,,,,
Tamarix spp.,Tamarisk thickets,Shrubland Semi-Natural Alliance,Tamarix spp. Shrubland Semi-Natural Alliance,https://vegetation.cnps.org/alliance/298,Tamarisk series,Tamarix spp. semi-natural temporarily flooded shrubland alliance,Tamarisk,Tamarisk scrub,Not treated,Desert riparian,63.810.00,Mesomorphic Tree Vegetation (Forest and Woodland),Temperate Forest,Temperate Flooded and Swamp Forest,Western North America Warm Temperate Flooded and Swamp Forest,"Southwestern North American Riparian, Flooded and Swamp Forest",Southwestern North American introduced riparian scrub,,,,,,,,,,,,,,,,,
Simmondsia chinensis,Jojoba scrub,Provisional Shrubland Alliance,Simmondsia chinensis Provisional Shrubland Alliance,https://vegetation.cnps.org/alliance/296,Not treated,Simmondsia chinensis shrubland alliance,Not treated,Sonoran mixed woody and succulent scrub,Not treated,"Coastal scrub, Desert scrub",33.005.00,,,,,,,,,,,,,,,,,,,,,,,
Suaeda moquinii,Bush seepweed scrub,Shrubland Alliance,Suaeda moquinii Shrubland Alliance,https://vegetation.cnps.org/alliance/295,Bush seepweed series,Suaeda moquinii intermittently flooded shrubland alliance,"Alkaline mixed scrub, Soft scrub-Mixed chaparral","Desert sink scrub, Desert greasewood scrub, Valley sink scrub","Alkali sink, Shadscale scrub","Alkali desert scrub, Coastal scrub",36.200.00,Mesomorphic Shrub and Herb Vegetation (Shrubland and Grassland),Temperate and Boreal Shrubland and Grassland,Temperate and Boreal Salt Marsh,Western North American Interior Alkali-Saline Wetland,Warm Semi-Desert/Mediterranean Alkali-Saline Wetland,Southwestern North American salt basin and high marsh group,"Polycarpic perennial, shrub, evergreen",Transient,Short,Wind,Stratification—Summer,,"Fire-sensitive, no/low sprouter",No,,,,,,,,,
Sarcobatus vermiculatus,Greasewood scrub,Shrubland Alliance,Sarcobatus vermiculatus Shrubland Alliance,https://vegetation.cnps.org/alliance/294,Greasewood series,"Sarcobatus vermiculatus intermittently flooded shrubland alliance, Atriplex parryi shrubland alliance","Saltbush, Greasewood, Alkaline mixed scrub","Desert sink scrub, Desert greasewood scrub, Sierra-Tehachapi saltbush scrub, Interior Coast range saltbush scrub","Alkali sink, Shadscale scrub",Alkali desert scrub,36.400.00,Mesomorphic Shrub and Herb Vegetation (Shrubland and Grassland),Temperate and Boreal Shrubland and Grassland,Temperate and Boreal Salt Marsh,Western North American Interior Alkali-Saline Wetland,Cool Semi-Desert Alkali-Saline Wetlands,Great Basin cool semi-desert alkali basin group,"Shrub, polycarpic perennial",soil,,,,,,,,,,,,,,,
Salvia mellifera,Black sage scrub,Shrubland Alliance,Salvia mellifera Shrubland Alliance,https://vegetation.cnps.org/alliance/293,Black sage series,Salvia mellifera shrubland alliance,Sage,"Southern coastal bluff scrub, Central (Lucian) coastal scrub, Venturan coastal sage scrub, Diablan sage scrub, Riversidian upland sage scrub",Coastal sage scrub,Coastal scrub,32.020.00,Mesomorphic Shrub and Herb Vegetation (Shrubland and Grassland),Mediterranean Scrub and Grassland,Mediterranean Scrub,California Scrub,California Coastal Scrub,Central and South Coastal Californian coastal sage scrub,"Shrub; drought deciduous, evergreen",Soil,Long,Animal; gravity; wind,None,Underground structures (variable by geography and by age of plant),Fire-sensitive; high flammability; no/low sprouter to fire-hardy; high sprouter,No,Episodic? (variable),Medium (15-90+ years),Late summer-fall,Medium to large; up to or beyond stand size,Low,Moderate,High to very high,Active-independent crown fire,Southern California
